ROTO Header[281]*******.0.108:41620
MSG Header[257]0xbabeface-13-1797792923-1
Module Header[249]0x1-0-0:0-30-1-0
-SliceHead:0-1-0-0
-PacketHead:0xbabeface-25-8-217-Data:859256161-GCMNonce[0000001911828ecc35d1aeae]-281-189:*******
10-25 17:25:58.960|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:25:58.987|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:59.027|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:59.061|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:25:59.088|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:59.131|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:59.164|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:25:59.191|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:59.235|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:59.271|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:25:59.298|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:59.335|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:59.372|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:25:59.398|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:59.436|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:59.471|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:25:59.498|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:59.535|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:59.571|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:25:59.597|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:59.635|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:59.669|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:25:59.697|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:59.732|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:59.767|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:25:59.794|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:59.834|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:59.868|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:25:59.894|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:59.933|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:59.966|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:25:59.993|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:00.029|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:00.068|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:00.094|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:00.131|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:00.167|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:00.194|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:00.235|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:00.269|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:00.296|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:00.344|ConnectionHttpSend|143|[I]:send succ
